Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
braces price,1,1,140,68.74,1.09,https://www.3dental.ie/adult-braces/,65,0.19,71.00,0.73,356000000,"[82,82,100,100,53,65,100,100,100,100,100,82]",2021-01-10,"Image pack, Site links, People also ask"
digital dental design,1,1,90,48.36,0.00,https://www.3dental.ie/digital-smile-design/,42,0.12,0.00,0,148000000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2021-01-10,"Image pack, Site links, Video Carousel, People also ask, FAQ"
root canal price dublin,1,1,90,71.04,1.04,https://www.3dental.ie/blog/how-much-does-root-canal-cost/,42,0.12,43.00,0.53,1510000,"[25,25,100,50,25,25,25,25,100,50,25,25]",2021-01-03,"Image pack, Site links, People also ask"
3 dental reviews,1,1,110,81.81,1.47,https://www.3dental.ie/testimonials/,88,0.26,129.00,0.08,246000000,"[82,65,82,82,41,29,65,100,82,100,82,65]",2020-12-28,"Knowledge panel, Site links, Reviews, Video Carousel"
veneer teeth prep,1,1,110,55.58,0.00,https://www.3dental.ie/minimal-prep-veneers/,51,0.15,0.00,0,1910000,"[4,54,19,19,12,12,19,27,65,81,100,100]",2021-01-14,"Image pack, Site links, People also ask"
how much for two front teeth implants,1,1,90,59.25,0.53,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,42,0.12,22.00,0.37,5880000,"[0,100,0,0,0,100,0,0,0,0,0,100]",2021-01-09,People also ask
kids braces,1,1,170,70.53,0.61,https://www.3dental.ie/kids-braces/,79,0.23,48.00,0.94,109000000,"[81,67,100,100,67,43,67,100,100,100,67,81]",2021-01-12,"Local pack, Image pack, People also ask"
dental bonding,1,1,480,75.96,0.71,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,225,0.67,160.00,0.07,31300000,"[54,44,67,67,54,82,67,82,100,67,67,82]",2021-01-09,"Knowledge panel, Local pack, Image pack, Site links, People also ask"
3 dental dublin,1,1,1000,83.15,1.48,https://www.3dental.ie/dublin/,800,2.38,1184.00,0.06,23200000,"[17,46,38,21,9,31,84,100,68,84,84,84]",2021-01-17,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
dental clinic,1,1,1300,68.45,0.72,https://www.3dental.ie/,611,1.82,439.00,0.07,507000000,"[46,53,53,46,31,46,84,68,68,84,100,84]",2021-01-17,"Local pack, Site links"
